id,obj,verb,atr,subj,ref,synset
occ185,τὸν,προσέφη,κορυθαίολος,Ἕκτωρ,6.520,speak
occ186,τὸν,προσηύδα,πότνια,Ἥρη,19.106,speak
occ187,τὸν,προσέφη,ὠκὺς,Ἀχιλλεύς,19.145,speak
occ188,τὸν,προσέφη,πολύμητις,Ὀδυσσεύς,19.154,speak
occ189,τὸν,προσέειπεν,ἄναξ,Ἀγαμέμνων,19.184,speak
occ190,τὸν,προσέφη,ὠκὺς,Ἀχιλλεύς,19.198,speak
occ191,τὸν,προσέφη,πολύμητις,Ὀδυσσεύς,19.215,speak
occ192,τὸν,προσέφη,ὠκὺς,Ἀχιλλεύς,19.419,speak
occ193,τὸν,προσέφη,νεφεληγερέτα,Ζεύς,20.19,speak
occ194,μιν,προσέφη,υἱὸς,Ἀπόλλων,20.82,speak
occ195,τὸν,προσέειπεν,ἄναξ,Ἀπόλλων,20.103,speak
occ196,τὸν,προσέειπε,ποδάρκης,Ἀχιλλεύς,20.177,speak
occ197,Δάρδανον,τέκετο,νεφεληγερέτα,Ζεύς,20.215,
occ198,τὸν,ἠμείβετ',βοῶπις,Ἥρη,20.309,reply
occ199,Ἕκτορα,εἶπε,Φοῖβος,Ἀπόλλων,20.375,speak
occ200,τὸν,βάλ',δῖος,Ἀχιλλεὺς,20.386,kill
occ201,τὸν,βάλε,ποδάρκης,Ἀχιλλεὺς,20.413,kill
occ202,τὸν,προσέφη,κορυθαίολος,Ἕκτωρ,20.430,speak
occ203,σ',ἐρύσατο,Φοῖβος,Ἀπόλλων,20.450,
occ204,τὸν,ἐνόησε,ποδάρκης,Ἀχιλλεὺς,21.49,
occ205,δόρυ,ἀνέσχετο,δῖος,Ἀχιλλεὺς,21.67,
occ206,μιν,προσηύδα,φαίδιμος,υἱὸς,21.97,speak
occ207,τὸν,προσέειπε,ποδάρκης,Ἀχιλλεύς,21.149,speak
occ208,τὸν,προσεφώνεε,φαίδιμος,υἱός,21.152,speak
occ209,τὸν,προσέφη,ὠκὺς,Ἀχιλλεύς,21.222,speak
occ210,μιν,ἀποέρσειε,μέγας,ποταμὸς,21.329,
occ211,τό,ἄκουσε,θεὰ,Ἥρη,21.377,
