id,subj,obj,verb,ref,lemma_verb,synset
occ193,ὃ,Περίφαντα,ἐξενάριζεν,5.842,ἐξεναρίζω,kill
occ194,οἳ,Ὄλυμπον,ἔχουσιν,5.890,ἔχω,
occ195,ὀπὸς,γάλα,συνέπηξεν,5.902,συμπήγνυμι,
occ196,σκότος,ὄσσε,κάλυψεν,6.11,καλύπτω,
occ197,τὼ,γαῖαν,ἐδύτην,6.19,δύω,
occ198,Εὐρύπυλος,Μελάνθιον,ἐξενάριξεν,6.36,ἐξεναρίζω,kill
occ199,οἳ,καρπὸν,ἔδουσιν,6.142,ἔδω,
occ200,ἣ,Προῖτον,προσηύδα,6.163,προσαυδάω,speak
occ201,τοὶ,οἶκον,νέοντο,6.189,νέομαι,
occ202,Ἕκτωρ,πύλας,ἵκανεν,6.237,ἱκάνω,
occ203,αἳ,χεῖρας,ἀνέσχον,6.301,ἀνέχω,
occ204,θεοὶ,κακὰ,τεκμήραντο,6.349,τεκμαίρομαι,
occ205,πόνος,φρένας,ἀμφιβέβηκεν,6.355,ἀμφιβαίνω,
occ206,οἳ,ποθὴν,ἔχουσιν,6.362,ἔχω,
occ207,Τρῳαὶ,θεὸν,ἱλάσκονται,6.380,ἱλάσκομαι,
occ208,ταμίη,μῦθον,ἔειπεν,6.381,εἶπον,speak
occ209,Τρῳαὶ,θεὸν,ἱλάσκονται,6.385,ἱλάσκομαι,
occ210,σύ,πότμον,ἐπίσπῃς,6.412,ἐφέπω,
occ211,ἄλοχος,οἶκον,βεβήκει,6.495,βαίνω,
occ212,τύνη,τεύχεα,δέξο,19.10,δέχομαι,
occ213,θεὰ,τεύχε',ἔθηκε,19.12,τίθημι,
occ214,αἵ,φῶτας,κατέδουσιν,19.31,κατέδω,
occ215,Ἀχαιοὶ,μῦθον,ἔειπον,19.85,εἶπον,speak
occ216,θεὸς,πάντα,τελευτᾷ,19.90,τελευτάω,
occ217,ἣ,πάντας,ἀᾶται,19.91,ἀάω,
occ218,Ζεὺς,δολοφροσύνην,ἐνόησεν,19.112,νοέω,
occ219,ἣ,πάντας,ἀᾶται,19.129,ἀάω,
